Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6qvtiA4wQQliK6K7oRdovk,"Green Eyes","Mama's Gun","Erykah Badu",2000-10-31,604973,58,true,hsisaz28j1r9cs7m0tc5u340d,2020-05-11T15:55:50Z,"neo soul,r&b","Motown (Kedar)",0.373,0.288,5,-13.295,0,0.058,0.3,0.0267,0.0449,0.197,61.349,3
spotify:track:6GCIYIWUBSLontW6divqsw,"Stay Flo","When I Get Home","Solange",2019-03-01,175706,57,true,hsisaz28j1r9cs7m0tc5u340d,2020-09-07T13:29:40Z,"alternative r&b,neo soul","Saint Records/Columbia",0.823,0.558,9,-7.119,1,0.0278,0.397,0.0000203,0.0821,0.674,155.974,4
spotify:track:1QJb6LWvPXZpTMiqqODqkH,"Prototype","Speakerboxxx/The Love Below","Outkast",2003,326240,61,false,hsisaz28j1r9cs7m0tc5u340d,2020-07-22T13:24:22Z,"southern hip hop,hip hop","Arista",0.643,0.376,9,-7.424,1,0.0426,0.348,0.000335,0.111,0.193,76.002,4
spotify:track:49aUxrufliNDGj7MTm7pNU,"The Way","Who Is Jill Scott? - Words and Sounds, Vol. 1","Jill Scott",2000-07-18,255733,60,false,hsisaz28j1r9cs7m0tc5u340d,2024-07-12T09:59:07Z,"neo soul,quiet storm","Hidden Beach Records",0.717,0.402,1,-9.712,1,0.0316,0.0187,0.0113,0.0994,0.453,140.418,4
spotify:track:099suT0NkLdJyKTa38oY0Q,"Still (feat. Charlotte Day Wilson)","TIMELESS","KAYTRANADA;Charlotte Day Wilson",2024-06-07,134714,48,false,hsisaz28j1r9cs7m0tc5u340d,2024-06-24T23:56:53Z,"alternative r&b","KAYTRANADA/RCA Records",0.666,0.554,10,-6.813,0,0.0799,0.0308,0.0182,0.108,0.393,93.978,4
spotify:track:3NiL2JcFIncyshy4KOKA73,"Go Baby","Heaven","Cleo Sol",2023-09-15,236236,62,false,hsisaz28j1r9cs7m0tc5u340d,2023-09-17T00:03:19Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.574,0.176,8,-10.924,0,0.213,0.928,0.437,0.119,0.497,78.929,4
spotify:track:7z9id29USnlNeXzmLctJXZ,"Leveled","Wanderlust","Durand Bernarr",2022-09-23,353242,38,false,hsisaz28j1r9cs7m0tc5u340d,2025-04-13T00:42:44Z,"neo soul,alternative r&b","DSING RECORDS",0.644,0.606,5,-8.477,0,0.038,0.159,0.00106,0.369,0.766,146.849,4
spotify:track:6T3Ebo7EOh8cUOyE4OhFpp,"Good & Plenty - Remix","Good & Plenty (Remix)","Lucky Daye;Masego;Alex Isley;Jack Dine",2021-03-17,204705,61,false,hsisaz28j1r9cs7m0tc5u340d,2022-02-05T22:34:11Z,"neo soul,alternative r&b","Isley & Dine Records, Lucky Daye appears courtesy of Keep Cool / RCA Records",0.629,0.579,9,-6.543,0,0.107,0.811,0.00366,0.0813,0.363,135.86,4
spotify:track:19fy76vOEUfIIVuWmGHaAu,"All Night","All Night","Rejjie Snow;Dana Williams",2024-07-23,152533,0,true,hsisaz28j1r9cs7m0tc5u340d,2024-07-23T18:45:24Z,"jazz rap","Honeymoon",0.852,0.67,1,-5.009,1,0.263,0.0378,0,0.117,0.793,103.899,4
spotify:track:6mK6k4NlOD6res9zS4u0cp,"Let Me Grow","Let Me Grow","threetwenty",2025-03-20,215333,5,false,hsisaz28j1r9cs7m0tc5u340d,2025-09-02T16:11:08Z,"neo soul,christian r&b","New Century Sound",0.7,0.451,1,-10.433,1,0.0813,0.875,0.002,0.11,0.414,90.01,4
spotify:track:6ufcuVInt0ocHrUimDjGlb,"PLASTIC OFF THE SOFA","RENAISSANCE","Beyoncé",2022-07-29,254319,63,false,hsisaz28j1r9cs7m0tc5u340d,2022-08-03T21:18:01Z,"","Parkwood Entertainment/Columbia",0.618,0.712,1,-8.246,1,0.114,0.14,0.00000453,0.575,0.305,97.057,4
spotify:track:37oNzLFCyw2On6e39bN2sp,"Modennaminute (with Lucky Daye, Phoelix)","Luv 4 Rent","Smino;Lucky Daye;Phoelix",2022-10-28,287098,46,true,hsisaz28j1r9cs7m0tc5u340d,2022-10-31T17:32:47Z,"","Motown Records",0.432,0.549,0,-9.433,1,0.46,0.579,0.000152,0.194,0.344,77.387,4
spotify:track:54IkjkUr21iPPUfmwsyiLQ,"The Garden","Purple Naked Ladies","The Internet",2011-12-20,130413,34,false,hsisaz28j1r9cs7m0tc5u340d,2024-07-11T00:34:29Z,"alternative r&b,neo soul","Odd Future",0.351,0.577,1,-10.912,1,0.0723,0.0355,0.705,0.183,0.619,81.432,4
